Paese; Area ; Maschi ; Femmine ; Totale ; %
Armenia;Asia occidentale;10.0;25.0;35.0;0,01%
Malaysia;Asia orientale;12.0;18.0;30.0;0,01%
Giordania;Asia occidentale;18.0;10.0;28.0;0,01%
Timor Est;Asia orientale;2.0;24.0;26.0;0,01%
Uzbekistan;Asia centro meridionale;10.0;16.0;26.0;0,01%
Repubblica di Corea (Corea del Sud);Asia orientale;5.0;18.0;23.0;0,01%
Nepal;Asia centro meridionale;18.0;2.0;20.0;0,01%
Territori dell'Autonomia Palestinese;Asia occidentale;13.0;6.0;19.0;0,01%
Yemen;Asia occidentale;13.0;5.0;18.0;0,01%
Myanmar (ex Birmania);Asia orientale;10.0;3.0;13.0;0,01%
Taiwan;Asia orientale;2.0;10.0;12.0;0,00%
Azerbaigian;Asia occidentale;4.0;7.0;11.0;0,00%
Mongolia;Asia orientale;0.0;6.0;6.0;0,00%
Cambogia;Asia orientale;0.0;4.0;4.0;0,00%
Singapore;Asia orientale;3.0;1.0;4.0;0,00%
Arabia Saudita;Asia occidentale;2.0;0.0;2.0;0,00%
Laos;Asia orientale;0.0;1.0;1.0;0,00%
Turkmenistan;Asia centro meridionale;0.0;1.0;1.0;0,00%
Marocco;Africa settentrionale;15.418;8.507;23.925;9,49%
Nigeria;Africa occidentale;5.176;3.84;9.016;3,58%
Ghana;Africa occidentale;4.158;737.0;4.895;1,94%
Senegal;Africa occidentale;4.103;763.0;4.866;1,93%
Algeria;Africa settentrionale;2.766;727.0;3.493;1,39%
Tunisia;Africa settentrionale;2.432;978.0;3.41;1,35%
Burkina Faso (ex Alto Volta);Africa occidentale;2.012;350.0;2.362;0,94%
Gambia;Africa occidentale;2.03;64.0;2.094;0,83%
Mali;Africa occidentale;1.921;35.0;1.956;0,78%
Costa d'Avorio;Africa occidentale;1.461;269.0;1.73;0,69%
Guinea;Africa occidentale;872.0;82.0;954.0;0,38%
Capo Verde;Africa occidentale;278.0;607.0;885.0;0,35%
Egitto;Africa settentrionale;798.0;64.0;862.0;0,34%
Togo;Africa occidentale;285.0;37.0;322.0;0,13%
Camerun;Africa centro meridionale;209.0;104.0;313.0;0,12%
Benin (ex Dahomey);Africa occidentale;224.0;47.0;271.0;0,11%
Somalia;Africa orientale;161.0;68.0;229.0;0,09%
Niger;Africa occidentale;136.0;36.0;172.0;0,07%
Liberia;Africa occidentale;135.0;27.0;162.0;0,06%
Sierra Leone;Africa occidentale;147.0;14.0;161.0;0,06%
Sudan;Africa settentrionale;113.0;42.0;155.0;0,06%
Guinea Bissau;Africa occidentale;149.0;4.0;153.0;0,06%
Eritrea;Africa orientale;66.0;82.0;148.0;0,06%
Madagascar;Africa orientale;28.0;106.0;134.0;0,05%
Tanzania;Africa orientale;65.0;39.0;104.0;0,04%
Etiopia;Africa orientale;48.0;55.0;103.0;0,04%
Repubblica del Congo;Africa centro meridionale;60.0;40.0;100.0;0,04%
Repubblica democratica del Congo (ex Zaire);Africa centro meridionale;55.0;38.0;93.0;0,04%
Libia;Africa settentrionale;55.0;16.0;71.0;0,03%
Kenya;Africa orientale;23.0;42.0;65.0;0,03%
Sud Africa;Africa centro meridionale;11.0;27.0;38.0;0,02%
Mauritania;Africa occidentale;26.0;4.0;30.0;0,01%
Ciad;Africa centro meridionale;28.0;1.0;29.0;0,01%
Angola;Africa centro meridionale;15.0;13.0;28.0;0,01%
Ruanda;Africa orientale;10.0;17.0;27.0;0,01%
Burundi;Africa orientale;10.0;11.0;21.0;0,01%
Mauritius;Africa orientale;5.0;13.0;18.0;0,01%
Seychelles;Africa orientale;4.0;14.0;18.0;0,01%
Uganda;Africa orientale;8.0;10.0;18.0;0,01%
Mozambico;Africa orientale;9.0;6.0;15.0;0,01%
Repubblica Centrafricana;Africa centro meridionale;13.0;1.0;14.0;0,01%
Zimbabwe (ex Rhodesia);Africa orientale;4.0;6.0;10.0;0,00%
Sud Sudan;Africa settentrionale;5.0;2.0;7.0;0,00%
Guinea Equatoriale;Africa centro meridionale;4.0;1.0;5.0;0,00%
Zambia;Africa orientale;0.0;5.0;5.0;0,00%
Gabon;Africa centro meridionale;1.0;3.0;4.0;0,00%
Malawi;Africa orientale;3.0;1.0;4.0;0,00%
Botswana;Africa centro meridionale;0.0;1.0;1.0;0,00%
Gibuti;Africa orientale;1.0;0.0;1.0;0,00%
Namibia;Africa centro meridionale;1.0;0.0;1.0;0,00%
Eswatini;Africa centro meridionale;0.0;1.0;1.0;0,00%
Brasile;America centro meridionale;508.0;1.738;2.246;0,89%
Repubblica Dominicana;America centro meridionale;826.0;1.34;2.166;0,86%
Cuba;America centro meridionale;296.0;1.064;1.36;0,54%
Venezuela;America centro meridionale;311.0;764.0;1.075;0,43%
Perù;America centro meridionale;357.0;542.0;899.0;0,36%
Stati Uniti d'America;America settentrionale;328.0;400.0;728.0;0,29%
Colombia;America centro meridionale;193.0;513.0;706.0;0,28%
El Salvador;America centro meridionale;247.0;411.0;658.0;0,26%
Argentina;America centro meridionale;255.0;288.0;543.0;0,22%
Ecuador;America centro meridionale;84.0;140.0;224.0;0,09%
Messico;America centro meridionale;29.0;156.0;185.0;0,07%
Dominica;America centro meridionale;55.0;80.0;135.0;0,05%
Honduras;America centro meridionale;40.0;81.0;121.0;0,05%
Paraguay;America centro meridionale;23.0;70.0;93.0;0,04%
Cile;America centro meridionale;33.0;57.0;90.0;0,04%
Canada;America settentrionale;24.0;47.0;71.0;0,03%
Bolivia;America centro meridionale;18.0;41.0;59.0;0,02%
Nicaragua;America centro meridionale;11.0;28.0;39.0;0,02%
Guatemala;America centro meridionale;11.0;17.0;28.0;0,01%
Panama;America centro meridionale;6.0;22.0;28.0;0,01%
Uruguay;America centro meridionale;8.0;19.0;27.0;0,01%
Haiti;America centro meridionale;6.0;18.0;24.0;0,01%
Costa Rica;America centro meridionale;7.0;16.0;23.0;0,01%
Trinidad e Tobago;America centro meridionale;1.0;3.0;4.0;0,00%
Giamaica;America centro meridionale;1.0;2.0;3.0;0,00%
Guyana;America centro meridionale;1.0;1.0;2.0;0,00%
Bahamas;America centro meridionale;1.0;0.0;1.0;0,00%
Barbados;America centro meridionale;1.0;0.0;1.0;0,00%
Grenada;America centro meridionale;1.0;0.0;1.0;0,00%
Saint Lucia;America centro meridionale;0.0;1.0;1.0;0,00%
Saint Vincent e Grenadine;America centro meridionale;1.0;0.0;1.0;0,00%
Australia;Oceania;13;42;55;0,02%
Nuova Zelanda;Oceania;0;5;5;0,00%
Figi;Oceania;0;3;3;0,00%
Samoa;Oceania;2;0;2;0,00%
Papua Nuova Guinea;Oceania;1;0;1;0,00%
Apolidi;Apolidi;11;16;27;0,01%
