Paese; Area ; Maschi ; Femmine ; Totale ; %
Niger;Africa occidentale;1.0;0;1.0;0,01%
Seychelles;Africa orientale;0.0;1;1.0;0,01%
Uganda;Africa orientale;1.0;0;1.0;0,01%
Repubblica Popolare Cinese;Asia orientale;147;145;292;3,48%
Nepal;Asia centro meridionale;56;41;97;1,16%
Pakistan;Asia centro meridionale;75;16;91;1,09%
India;Asia centro meridionale;31;26;57;0,68%
Filippine;Asia orientale;19;28;47;0,56%
Bangladesh;Asia centro meridionale;34;4;38;0,45%
Thailandia;Asia orientale;6;19;25;0,30%
Sri Lanka (ex Ceylon);Asia centro meridionale;9;13;22;0,26%
Afghanistan;Asia centro meridionale;12;3;15;0,18%
Siria;Asia occidentale;8;5;13;0,16%
Giappone;Asia orientale;2;8;10;0,12%
Israele;Asia occidentale;4;2;6;0,07%
Bahrein;Asia occidentale;3;2;5;0,06%
Iraq;Asia occidentale;4;1;5;0,06%
Georgia;Asia occidentale;0;5;5;0,06%
Indonesia;Asia orientale;0;4;4;0,05%
Taiwan;Asia orientale;1;3;4;0,05%
Libano;Asia occidentale;2;1;3;0,04%
Vietnam;Asia orientale;1;2;3;0,04%
Yemen;Asia occidentale;2;1;3;0,04%
Repubblica Islamica dell'Iran;Asia occidentale;2;0;2;0,02%
Kazakhstan;Asia centro meridionale;0;2;2;0,02%
Armenia;Asia occidentale;1;1;2;0,02%
Territori dell'Autonomia Palestinese;Asia occidentale;0;1;1;0,01%
Giordania;Asia occidentale;1;0;1;0,01%
Maldive;Asia centro meridionale;1;0;1;0,01%
Singapore;Asia orientale;0;1;1;0,01%
Uzbekistan;Asia centro meridionale;0;1;1;0,01%
Repubblica Dominicana;America centro meridionale;105;153;258;3,08%
Brasile;America centro meridionale;32;82;114;1,36%
Cuba;America centro meridionale;33;56;89;1,06%
Perù;America centro meridionale;26;52;78;0,93%
Stati Uniti d'America;America settentrionale;17;22;39;0,47%
Argentina;America centro meridionale;15;13;28;0,33%
Colombia;America centro meridionale;6;17;23;0,27%
Venezuela;America centro meridionale;4;13;17;0,20%
Ecuador;America centro meridionale;3;10;13;0,16%
Bolivia;America centro meridionale;3;7;10;0,12%
Messico;America centro meridionale;4;5;9;0,11%
Dominica;America centro meridionale;2;5;7;0,08%
Cile;America centro meridionale;6;0;6;0,07%
Paraguay;America centro meridionale;1;4;5;0,06%
Canada;America settentrionale;0;3;3;0,04%
El Salvador;America centro meridionale;0;1;1;0,01%
Honduras;America centro meridionale;1;0;1;0,01%
Panama;America centro meridionale;1;0;1;0,01%
Uruguay;America centro meridionale;0;1;1;0,01%
Australia;Oceania;1;2;3;0,04%
Nuova Zelanda;Oceania;1;0;1;0,01%
