Paese; Area ; Maschi ; Femmine ; Totale ; %
Azerbaigian;Asia occidentale;20.0;17.0;37.0;0,04%
Kirghizistan;Asia centro meridionale;6.0;23.0;29.0;0,03%
Vietnam;Asia orientale;10.0;18.0;28.0;0,03%
Territori dell'Autonomia Palestinese;Asia occidentale;19.0;8.0;27.0;0,03%
Nepal;Asia centro meridionale;16.0;11.0;27.0;0,03%
Libano;Asia occidentale;19.0;7.0;26.0;0,03%
Uzbekistan;Asia centro meridionale;11.0;12.0;23.0;0,02%
Repubblica di Corea (Corea del Sud);Asia orientale;3.0;14.0;17.0;0,02%
Israele;Asia occidentale;8.0;8.0;16.0;0,02%
Malaysia;Asia orientale;7.0;6.0;13.0;0,01%
Kazakhstan;Asia centro meridionale;3.0;9.0;12.0;0,01%
Giordania;Asia occidentale;6.0;4.0;10.0;0,01%
Yemen;Asia occidentale;4.0;4.0;8.0;0,01%
Myanmar (ex Birmania);Asia orientale;2.0;5.0;7.0;0,01%
Mongolia;Asia orientale;2.0;4.0;6.0;0,01%
Taiwan;Asia orientale;0.0;5.0;5.0;0,01%
Singapore;Asia orientale;0.0;3.0;3.0;0,00%
Cambogia;Asia orientale;1.0;1.0;2.0;0,00%
Laos;Asia orientale;0.0;2.0;2.0;0,00%
Turkmenistan;Asia centro meridionale;0.0;2.0;2.0;0,00%
Repubblica Democratica Popolare di Corea (Corea del Nord);Asia orientale;1.0;0.0;1.0;0,00%
Maldive;Asia centro meridionale;1.0;0.0;1.0;0,00%
Marocco;Africa settentrionale;3.59;3.202;6.792;6,91%
Tunisia;Africa settentrionale;1.155;790.0;1.945;1,98%
Nigeria;Africa occidentale;1.047;862.0;1.909;1,94%
Senegal;Africa occidentale;761.0;262.0;1.023;1,04%
Ghana;Africa occidentale;380.0;200.0;580.0;0,59%
Algeria;Africa settentrionale;284.0;199.0;483.0;0,49%
Mali;Africa occidentale;350.0;45.0;395.0;0,40%
Gambia;Africa occidentale;382.0;9.0;391.0;0,40%
Egitto;Africa settentrionale;226.0;125.0;351.0;0,36%
Costa d'Avorio;Africa occidentale;187.0;98.0;285.0;0,29%
Burkina Faso (ex Alto Volta);Africa occidentale;114.0;63.0;177.0;0,18%
Guinea;Africa occidentale;135.0;24.0;159.0;0,16%
Camerun;Africa centro meridionale;86.0;57.0;143.0;0,15%
Etiopia;Africa orientale;52.0;40.0;92.0;0,09%
Togo;Africa occidentale;60.0;28.0;88.0;0,09%
Somalia;Africa orientale;61.0;23.0;84.0;0,09%
Guinea Bissau;Africa occidentale;52.0;8.0;60.0;0,06%
Kenya;Africa orientale;15.0;34.0;49.0;0,05%
Sierra Leone;Africa occidentale;21.0;14.0;35.0;0,04%
Eritrea;Africa orientale;11.0;18.0;29.0;0,03%
Repubblica del Congo;Africa centro meridionale;12.0;13.0;25.0;0,03%
Niger;Africa occidentale;24.0;0.0;24.0;0,02%
Tanzania;Africa orientale;17.0;7.0;24.0;0,02%
Sud Africa;Africa centro meridionale;6.0;17.0;23.0;0,02%
Repubblica democratica del Congo (ex Zaire);Africa centro meridionale;11.0;12.0;23.0;0,02%
Libia;Africa settentrionale;13.0;5.0;18.0;0,02%
Liberia;Africa occidentale;14.0;1.0;15.0;0,02%
Mozambico;Africa orientale;6.0;9.0;15.0;0,02%
Uganda;Africa orientale;3.0;11.0;14.0;0,01%
Benin (ex Dahomey);Africa occidentale;7.0;1.0;8.0;0,01%
Mauritania;Africa occidentale;5.0;3.0;8.0;0,01%
Sudan;Africa settentrionale;7.0;1.0;8.0;0,01%
Angola;Africa centro meridionale;5.0;2.0;7.0;0,01%
Madagascar;Africa orientale;4.0;3.0;7.0;0,01%
Capo Verde;Africa occidentale;4.0;2.0;6.0;0,01%
Mauritius;Africa orientale;2.0;2.0;4.0;0,00%
Ciad;Africa centro meridionale;2.0;1.0;3.0;0,00%
Sud Sudan;Africa settentrionale;1.0;2.0;3.0;0,00%
Burundi;Africa orientale;1.0;1.0;2.0;0,00%
Malawi;Africa orientale;1.0;1.0;2.0;0,00%
Ruanda;Africa orientale;2.0;0.0;2.0;0,00%
Seychelles;Africa orientale;1.0;1.0;2.0;0,00%
Botswana;Africa centro meridionale;1.0;0.0;1.0;0,00%
Gabon;Africa centro meridionale;0.0;1.0;1.0;0,00%
Gibuti;Africa orientale;1.0;0.0;1.0;0,00%
Guinea Equatoriale;Africa centro meridionale;0.0;1.0;1.0;0,00%
Namibia;Africa centro meridionale;0.0;1.0;1.0;0,00%
Zimbabwe (ex Rhodesia);Africa orientale;1.0;0.0;1.0;0,00%
Perù;America centro meridionale;546.0;675.0;1.221;1,24%
Colombia;America centro meridionale;364.0;518.0;882.0;0,90%
Brasile;America centro meridionale;212.0;477.0;689.0;0,70%
Repubblica Dominicana;America centro meridionale;266.0;354.0;620.0;0,63%
Cuba;America centro meridionale;164.0;312.0;476.0;0,48%
Ecuador;America centro meridionale;154.0;186.0;340.0;0,35%
Stati Uniti d'America;America settentrionale;93.0;107.0;200.0;0,20%
Argentina;America centro meridionale;81.0;104.0;185.0;0,19%
Venezuela;America centro meridionale;57.0;105.0;162.0;0,16%
Bolivia;America centro meridionale;51.0;84.0;135.0;0,14%
Cile;America centro meridionale;52.0;69.0;121.0;0,12%
Messico;America centro meridionale;25.0;54.0;79.0;0,08%
Paraguay;America centro meridionale;25.0;30.0;55.0;0,06%
Nicaragua;America centro meridionale;11.0;23.0;34.0;0,03%
Canada;America settentrionale;13.0;19.0;32.0;0,03%
El Salvador;America centro meridionale;14.0;14.0;28.0;0,03%
Uruguay;America centro meridionale;8.0;15.0;23.0;0,02%
Guatemala;America centro meridionale;7.0;11.0;18.0;0,02%
Honduras;America centro meridionale;1.0;9.0;10.0;0,01%
Panama;America centro meridionale;3.0;6.0;9.0;0,01%
Dominica;America centro meridionale;2.0;5.0;7.0;0,01%
Costa Rica;America centro meridionale;2.0;4.0;6.0;0,01%
Haiti;America centro meridionale;1.0;5.0;6.0;0,01%
Barbados;America centro meridionale;0.0;1.0;1.0;0,00%
Giamaica;America centro meridionale;1.0;0.0;1.0;0,00%
Grenada;America centro meridionale;1.0;0.0;1.0;0,00%
Saint Lucia;America centro meridionale;0.0;1.0;1.0;0,00%
Australia;Oceania;17;14;31;0,03%
Nuova Zelanda;Oceania;4;1;5;0,01%
Apolidi;Apolidi;6;2;8;0,01%
