Paese; Area ; Maschi ; Femmine ; Totale ; %
Tunisia;Africa settentrionale;1.345;660.0;2.005;1,41%
Ghana;Africa occidentale;1.046;114.0;1.16;0,82%
Costa d'Avorio;Africa occidentale;855.0;163.0;1.018;0,72%
Guinea;Africa occidentale;849.0;57.0;906.0;0,64%
Egitto;Africa settentrionale;593.0;150.0;743.0;0,52%
Algeria;Africa settentrionale;403.0;178.0;581.0;0,41%
Somalia;Africa orientale;437.0;122.0;559.0;0,39%
Mauritius;Africa orientale;239.0;302.0;541.0;0,38%
Burkina Faso (ex Alto Volta);Africa occidentale;327.0;44.0;371.0;0,26%
Guinea Bissau;Africa occidentale;346.0;8.0;354.0;0,25%
Etiopia;Africa orientale;122.0;148.0;270.0;0,19%
Camerun;Africa centro meridionale;166.0;101.0;267.0;0,19%
Eritrea;Africa orientale;162.0;79.0;241.0;0,17%
Sudan;Africa settentrionale;135.0;20.0;155.0;0,11%
Niger;Africa occidentale;134.0;14.0;148.0;0,10%
Togo;Africa occidentale;135.0;12.0;147.0;0,10%
Kenya;Africa orientale;45.0;67.0;112.0;0,08%
Sierra Leone;Africa occidentale;89.0;14.0;103.0;0,07%
Benin (ex Dahomey);Africa occidentale;56.0;7.0;63.0;0,04%
Libia;Africa settentrionale;42.0;21.0;63.0;0,04%
Madagascar;Africa orientale;10.0;43.0;53.0;0,04%
Capo Verde;Africa occidentale;12.0;38.0;50.0;0,04%
Liberia;Africa occidentale;38.0;7.0;45.0;0,03%
Ciad;Africa centro meridionale;39.0;2.0;41.0;0,03%
Ruanda;Africa orientale;4.0;37.0;41.0;0,03%
Repubblica democratica del Congo (ex Zaire);Africa centro meridionale;15.0;18.0;33.0;0,02%
Repubblica del Congo;Africa centro meridionale;18.0;12.0;30.0;0,02%
Sud Africa;Africa centro meridionale;16.0;14.0;30.0;0,02%
Angola;Africa centro meridionale;10.0;14.0;24.0;0,02%
Tanzania;Africa orientale;12.0;11.0;23.0;0,02%
Burundi;Africa orientale;5.0;17.0;22.0;0,02%
Mauritania;Africa occidentale;17.0;3.0;20.0;0,01%
Uganda;Africa orientale;7.0;6.0;13.0;0,01%
Zimbabwe (ex Rhodesia);Africa orientale;1.0;6.0;7.0;0,00%
Gabon;Africa centro meridionale;2.0;3.0;5.0;0,00%
Repubblica Centrafricana;Africa centro meridionale;2.0;2.0;4.0;0,00%
Guinea Equatoriale;Africa centro meridionale;2.0;1.0;3.0;0,00%
Mozambico;Africa orientale;1.0;1.0;2.0;0,00%
Namibia;Africa centro meridionale;0.0;2.0;2.0;0,00%
Seychelles;Africa orientale;0.0;2.0;2.0;0,00%
Eswatini;Africa centro meridionale;2.0;0.0;2.0;0,00%
Zambia;Africa orientale;0.0;2.0;2.0;0,00%
Sud Sudan;Africa settentrionale;2.0;0.0;2.0;0,00%
Gibuti;Africa orientale;0.0;1.0;1.0;0,00%
Georgia;Asia occidentale;1.015;5.618;6.633;4,67%
Repubblica Popolare Cinese;Asia orientale;3.325;3.073;6.398;4,50%
India;Asia centro meridionale;2.658;1.476;4.134;2,91%
Pakistan;Asia centro meridionale;2.997;559.0;3.556;2,50%
Bangladesh;Asia centro meridionale;2.628;559.0;3.187;2,24%
Filippine;Asia orientale;719.0;1.119;1.838;1,29%
Afghanistan;Asia centro meridionale;1.229;206.0;1.435;1,01%
Sri Lanka (ex Ceylon);Asia centro meridionale;750.0;652.0;1.402;0,99%
Iraq;Asia occidentale;699.0;163.0;862.0;0,61%
Siria;Asia occidentale;186.0;121.0;307.0;0,22%
Repubblica Islamica dell'Iran;Asia occidentale;157.0;95.0;252.0;0,18%
Indonesia;Asia orientale;12.0;102.0;114.0;0,08%
Thailandia;Asia orientale;6.0;106.0;112.0;0,08%
Libano;Asia occidentale;47.0;32.0;79.0;0,06%
Territori dell'Autonomia Palestinese;Asia occidentale;64.0;14.0;78.0;0,05%
Giappone;Asia orientale;10.0;46.0;56.0;0,04%
Armenia;Asia occidentale;22.0;29.0;51.0;0,04%
Israele;Asia occidentale;23.0;17.0;40.0;0,03%
Kazakhstan;Asia centro meridionale;5.0;34.0;39.0;0,03%
Vietnam;Asia orientale;14.0;21.0;35.0;0,02%
Giordania;Asia occidentale;18.0;14.0;32.0;0,02%
Nepal;Asia centro meridionale;22.0;1.0;23.0;0,02%
Repubblica di Corea (Corea del Sud);Asia orientale;6.0;16.0;22.0;0,02%
Malaysia;Asia orientale;14.0;3.0;17.0;0,01%
Yemen;Asia occidentale;14.0;1.0;15.0;0,01%
Uzbekistan;Asia centro meridionale;2.0;13.0;15.0;0,01%
Taiwan;Asia orientale;1.0;13.0;14.0;0,01%
Myanmar (ex Birmania);Asia orientale;8.0;5.0;13.0;0,01%
Kirghizistan;Asia centro meridionale;1.0;11.0;12.0;0,01%
Azerbaigian;Asia occidentale;2.0;7.0;9.0;0,01%
Timor Est;Asia orientale;0.0;7.0;7.0;0,00%
Arabia Saudita;Asia occidentale;3.0;1.0;4.0;0,00%
Singapore;Asia orientale;1.0;3.0;4.0;0,00%
Cambogia;Asia orientale;1.0;2.0;3.0;0,00%
Repubblica Democratica Popolare di Corea (Corea del Nord);Asia orientale;2.0;0.0;2.0;0,00%
Emirati Arabi Uniti;Asia occidentale;0.0;2.0;2.0;0,00%
Kuwait;Asia occidentale;1.0;1.0;2.0;0,00%
Tagikistan;Asia centro meridionale;0.0;2.0;2.0;0,00%
Turkmenistan;Asia centro meridionale;1.0;1.0;2.0;0,00%
Bhutan;Asia centro meridionale;0.0;1.0;1.0;0,00%
Mongolia;Asia orientale;0.0;1.0;1.0;0,00%
Qatar;Asia occidentale;1.0;0.0;1.0;0,00%
Brasile;America centro meridionale;343.0;997.0;1.34;0,94%
Cuba;America centro meridionale;132.0;486.0;618.0;0,43%
Venezuela;America centro meridionale;137.0;328.0;465.0;0,33%
Stati Uniti d'America;America settentrionale;202.0;254.0;456.0;0,32%
Colombia;America centro meridionale;103.0;293.0;396.0;0,28%
Argentina;America centro meridionale;144.0;158.0;302.0;0,21%
Repubblica Dominicana;America centro meridionale;82.0;204.0;286.0;0,20%
Perù;America centro meridionale;57.0;134.0;191.0;0,13%
Messico;America centro meridionale;24.0;88.0;112.0;0,08%
Ecuador;America centro meridionale;35.0;77.0;112.0;0,08%
Canada;America settentrionale;32.0;40.0;72.0;0,05%
El Salvador;America centro meridionale;16.0;35.0;51.0;0,04%
Bolivia;America centro meridionale;12.0;23.0;35.0;0,02%
Cile;America centro meridionale;9.0;20.0;29.0;0,02%
Honduras;America centro meridionale;4.0;14.0;18.0;0,01%
Paraguay;America centro meridionale;1.0;15.0;16.0;0,01%
Uruguay;America centro meridionale;5.0;11.0;16.0;0,01%
Costa Rica;America centro meridionale;3.0;8.0;11.0;0,01%
Guatemala;America centro meridionale;1.0;9.0;10.0;0,01%
Dominica;America centro meridionale;2.0;6.0;8.0;0,01%
Giamaica;America centro meridionale;3.0;3.0;6.0;0,00%
Haiti;America centro meridionale;2.0;4.0;6.0;0,00%
Panama;America centro meridionale;0.0;6.0;6.0;0,00%
Grenada;America centro meridionale;0.0;3.0;3.0;0,00%
Nicaragua;America centro meridionale;1.0;2.0;3.0;0,00%
Antigua e Barbuda;America centro meridionale;2.0;0.0;2.0;0,00%
Trinidad e Tobago;America centro meridionale;0.0;2.0;2.0;0,00%
Bahamas;America centro meridionale;0.0;1.0;1.0;0,00%
Saint Vincent e Grenadine;America centro meridionale;0.0;1.0;1.0;0,00%
Guyana;America centro meridionale;1.0;0.0;1.0;0,00%
Suriname;America centro meridionale;1.0;0.0;1.0;0,00%
Australia;Oceania;22;33;55;0,04%
Nuova Zelanda;Oceania;0;2;2;0,00%
Papua Nuova Guinea;Oceania;2;0;2;0,00%
Apolidi;Apolidi;27;6;33;0,02%
