Paese; Area ; Maschi ; Femmine ; Totale ; %
Timor Est;Asia orientale;0.0;1;1.0;0,01%
Nepal;Asia centro meridionale;1.0;0;1.0;0,01%
Yemen;Asia occidentale;1.0;0;1.0;0,01%
Kazakhstan;Asia centro meridionale;0.0;1;1.0;0,01%
Azerbaigian;Asia occidentale;0.0;1;1.0;0,01%
Kirghizistan;Asia centro meridionale;0.0;1;1.0;0,01%
Tagikistan;Asia centro meridionale;0.0;1;1.0;0,01%
Taiwan;Asia orientale;0.0;1;1.0;0,01%
Argentina;America centro meridionale;192;177;369.0;2,96%
Venezuela;America centro meridionale;73;103;176.0;1,41%
Brasile;America centro meridionale;31;75;106.0;0,85%
Stati Uniti d'America;America settentrionale;34;38;72.0;0,58%
Repubblica Dominicana;America centro meridionale;18;51;69.0;0,55%
Cuba;America centro meridionale;10;57;67.0;0,54%
Canada;America settentrionale;16;22;38.0;0,30%
Colombia;America centro meridionale;5;19;24.0;0,19%
Perù;America centro meridionale;7;17;24.0;0,19%
Messico;America centro meridionale;8;14;22.0;0,18%
Ecuador;America centro meridionale;3;8;11.0;0,09%
El Salvador;America centro meridionale;1;8;9.0;0,07%
Bolivia;America centro meridionale;4;5;9.0;0,07%
Honduras;America centro meridionale;2;5;7.0;0,06%
Nicaragua;America centro meridionale;1;6;7.0;0,06%
Uruguay;America centro meridionale;3;4;7.0;0,06%
Costa Rica;America centro meridionale;2;2;4.0;0,03%
Guatemala;America centro meridionale;0;3;3.0;0,02%
Cile;America centro meridionale;1;1;2.0;0,02%
Giamaica;America centro meridionale;0;1;1.0;0,01%
Haiti;America centro meridionale;0;1;1.0;0,01%
Australia;Oceania;6;6;12;0,10%
