Paese; Area ; Maschi ; Femmine ; Totale ; %
Bangladesh;Asia centro meridionale;18.124;7.922;26.046;2,21%
Repubblica Islamica dell'Iran;Asia occidentale;2.193;2.243;4.436;0,38%
Georgia;Asia occidentale;494.0;2.823;3.317;0,28%
Giappone;Asia orientale;780.0;1.542;2.322;0,20%
Afghanistan;Asia centro meridionale;1.522;462.0;1.984;0,17%
Siria;Asia occidentale;1.052;686.0;1.738;0,15%
Repubblica di Corea (Corea del Sud);Asia orientale;652.0;945.0;1.597;0,14%
Thailandia;Asia orientale;143.0;1.417;1.56;0,13%
Libano;Asia occidentale;881.0;605.0;1.486;0,13%
Israele;Asia occidentale;290.0;281.0;571.0;0,05%
Kazakhstan;Asia centro meridionale;96.0;409.0;505.0;0,04%
Iraq;Asia occidentale;374.0;104.0;478.0;0,04%
Indonesia;Asia orientale;98.0;349.0;447.0;0,04%
Giordania;Asia occidentale;220.0;171.0;391.0;0,03%
Nepal;Asia centro meridionale;207.0;165.0;372.0;0,03%
Vietnam;Asia orientale;96.0;209.0;305.0;0,03%
Taiwan;Asia orientale;65.0;193.0;258.0;0,02%
Azerbaigian;Asia occidentale;107.0;132.0;239.0;0,02%
Armenia;Asia occidentale;91.0;134.0;225.0;0,02%
Territori dell'Autonomia Palestinese;Asia occidentale;165.0;57.0;222.0;0,02%
Uzbekistan;Asia centro meridionale;54.0;147.0;201.0;0,02%
Kirghizistan;Asia centro meridionale;45.0;132.0;177.0;0,02%
Cambogia;Asia orientale;38.0;77.0;115.0;0,01%
Myanmar (ex Birmania);Asia orientale;31.0;71.0;102.0;0,01%
Malaysia;Asia orientale;39.0;61.0;100.0;0,01%
Mongolia;Asia orientale;19.0;42.0;61.0;0,01%
Singapore;Asia orientale;18.0;41.0;59.0;0,01%
Arabia Saudita;Asia occidentale;34.0;19.0;53.0;0,00%
Yemen;Asia occidentale;30.0;18.0;48.0;0,00%
Turkmenistan;Asia centro meridionale;9.0;21.0;30.0;0,00%
Repubblica Democratica Popolare di Corea (Corea del Nord);Asia orientale;10.0;16.0;26.0;0,00%
Tagikistan;Asia centro meridionale;10.0;10.0;20.0;0,00%
Laos;Asia orientale;1.0;15.0;16.0;0,00%
Kuwait;Asia occidentale;5.0;3.0;8.0;0,00%
Bahrein;Asia occidentale;4.0;3.0;7.0;0,00%
Bhutan;Asia centro meridionale;1.0;4.0;5.0;0,00%
Qatar;Asia occidentale;2.0;2.0;4.0;0,00%
Timor Est;Asia orientale;2.0;1.0;3.0;0,00%
Oman;Asia occidentale;1.0;1.0;2.0;0,00%
Emirati Arabi Uniti;Asia occidentale;0.0;1.0;1.0;0,00%
Maldive;Asia centro meridionale;1.0;0.0;1.0;0,00%
Egitto;Africa settentrionale;63.542;35.145;98.687;8,39%
Marocco;Africa settentrionale;46.507;43.096;89.603;7,62%
Senegal;Africa occidentale;21.803;11.147;32.95;2,80%
Tunisia;Africa settentrionale;10.45;7.11;17.56;1,49%
Nigeria;Africa occidentale;9.1;7.029;16.129;1,37%
Ghana;Africa occidentale;5.82;3.485;9.305;0,79%
Costa d'Avorio;Africa occidentale;4.66;3.414;8.074;0,69%
Camerun;Africa centro meridionale;1.637;1.448;3.085;0,26%
Burkina Faso (ex Alto Volta);Africa occidentale;1.815;1.259;3.074;0,26%
Algeria;Africa settentrionale;1.624;1.19;2.814;0,24%
Gambia;Africa occidentale;2.543;271.0;2.814;0,24%
Mali;Africa occidentale;2.056;218.0;2.274;0,19%
Guinea;Africa occidentale;1.533;328.0;1.861;0,16%
Togo;Africa occidentale;967.0;673.0;1.64;0,14%
Eritrea;Africa orientale;724.0;823.0;1.547;0,13%
Mauritius;Africa orientale;660.0;805.0;1.465;0,12%
Etiopia;Africa orientale;428.0;656.0;1.084;0,09%
Somalia;Africa orientale;773.0;273.0;1.046;0,09%
Benin (ex Dahomey);Africa occidentale;344.0;318.0;662.0;0,06%
Kenya;Africa orientale;233.0;407.0;640.0;0,05%
Repubblica del Congo;Africa centro meridionale;239.0;294.0;533.0;0,05%
Libia;Africa settentrionale;324.0;147.0;471.0;0,04%
Repubblica democratica del Congo (ex Zaire);Africa centro meridionale;225.0;222.0;447.0;0,04%
Sierra Leone;Africa occidentale;292.0;121.0;413.0;0,04%
Sudan;Africa settentrionale;254.0;123.0;377.0;0,03%
Capo Verde;Africa occidentale;114.0;222.0;336.0;0,03%
Guinea Bissau;Africa occidentale;269.0;63.0;332.0;0,03%
Angola;Africa centro meridionale;120.0;115.0;235.0;0,02%
Niger;Africa occidentale;168.0;53.0;221.0;0,02%
Liberia;Africa occidentale;159.0;26.0;185.0;0,02%
Mauritania;Africa occidentale;123.0;55.0;178.0;0,02%
Uganda;Africa orientale;49.0;104.0;153.0;0,01%
Sud Africa;Africa centro meridionale;58.0;83.0;141.0;0,01%
Tanzania;Africa orientale;61.0;70.0;131.0;0,01%
Madagascar;Africa orientale;26.0;96.0;122.0;0,01%
Burundi;Africa orientale;38.0;80.0;118.0;0,01%
Seychelles;Africa orientale;38.0;62.0;100.0;0,01%
Ruanda;Africa orientale;36.0;51.0;87.0;0,01%
Mozambico;Africa orientale;24.0;34.0;58.0;0,00%
Ciad;Africa centro meridionale;45.0;11.0;56.0;0,00%
Zimbabwe (ex Rhodesia);Africa orientale;21.0;33.0;54.0;0,00%
Zambia;Africa orientale;16.0;32.0;48.0;0,00%
Repubblica Centrafricana;Africa centro meridionale;22.0;9.0;31.0;0,00%
Gabon;Africa centro meridionale;12.0;17.0;29.0;0,00%
Guinea Equatoriale;Africa centro meridionale;12.0;9.0;21.0;0,00%
Sud Sudan;Africa settentrionale;7.0;5.0;12.0;0,00%
Malawi;Africa orientale;2.0;6.0;8.0;0,00%
Namibia;Africa centro meridionale;0.0;3.0;3.0;0,00%
Eswatini;Africa centro meridionale;0.0;3.0;3.0;0,00%
Botswana;Africa centro meridionale;0.0;2.0;2.0;0,00%
Gibuti;Africa orientale;2.0;0.0;2.0;0,00%
Lesotho;Africa centro meridionale;1.0;1.0;2.0;0,00%
São Tomé e Principe;Africa centro meridionale;0.0;1.0;1.0;0,00%
Perù;America centro meridionale;18.916;24.423;43.339;3,68%
Ecuador;America centro meridionale;13.386;16.094;29.48;2,51%
El Salvador;America centro meridionale;7.364;10.019;17.383;1,48%
Brasile;America centro meridionale;4.628;9.414;14.042;1,19%
Bolivia;America centro meridionale;3.899;5.85;9.749;0,83%
Repubblica Dominicana;America centro meridionale;2.743;3.945;6.688;0,57%
Cuba;America centro meridionale;1.624;3.31;4.934;0,42%
Colombia;America centro meridionale;1.946;2.659;4.605;0,39%
Stati Uniti d'America;America settentrionale;1.124;1.485;2.609;0,22%
Venezuela;America centro meridionale;971.0;1.6;2.571;0,22%
Argentina;America centro meridionale;1.017;1.216;2.233;0,19%
Messico;America centro meridionale;361.0;683.0;1.044;0,09%
Honduras;America centro meridionale;386.0;616.0;1.002;0,09%
Cile;America centro meridionale;333.0;469.0;802.0;0,07%
Canada;America settentrionale;161.0;252.0;413.0;0,04%
Uruguay;America centro meridionale;146.0;254.0;400.0;0,03%
Paraguay;America centro meridionale;92.0;229.0;321.0;0,03%
Dominica;America centro meridionale;90.0;151.0;241.0;0,02%
Guatemala;America centro meridionale;76.0;136.0;212.0;0,02%
Nicaragua;America centro meridionale;58.0;102.0;160.0;0,01%
Costa Rica;America centro meridionale;37.0;73.0;110.0;0,01%
Panama;America centro meridionale;21.0;50.0;71.0;0,01%
Haiti;America centro meridionale;30.0;37.0;67.0;0,01%
Giamaica;America centro meridionale;19.0;15.0;34.0;0,00%
Trinidad e Tobago;America centro meridionale;1.0;10.0;11.0;0,00%
Saint Kitts e Nevis;America centro meridionale;3.0;5.0;8.0;0,00%
Barbados;America centro meridionale;2.0;4.0;6.0;0,00%
Antigua e Barbuda;America centro meridionale;4.0;1.0;5.0;0,00%
Bahamas;America centro meridionale;1.0;2.0;3.0;0,00%
Belize;America centro meridionale;1.0;1.0;2.0;0,00%
Suriname;America centro meridionale;0.0;2.0;2.0;0,00%
Saint Lucia;America centro meridionale;1.0;0.0;1.0;0,00%
Saint Vincent e Grenadine;America centro meridionale;0.0;1.0;1.0;0,00%
Australia;Oceania;120;167;287;0,02%
Nuova Zelanda;Oceania;32;30;62;0,01%
Papua Nuova Guinea;Oceania;3;4;7;0,00%
Samoa;Oceania;2;3;5;0,00%
Figi;Oceania;1;2;3;0,00%
Tonga;Oceania;2;1;3;0,00%
Kiribati;Oceania;1;0;1;0,00%
Isole Salomone;Oceania;0;1;1;0,00%
Vanuatu;Oceania;1;0;1;0,00%
Apolidi;Apolidi;51;53;104;0,01%
