Paese; Area ; Maschi ; Femmine ; Totale ; %
Principato di Monaco ; Altri paesi europei ; 20 ; 13 ; 33 ; 0,00%
Liechtenstein ; Altri paesi europei ; 10 ; 12 ; 22 ; 0,00%
Città del Vaticano ; Altri paesi europei ; 10 ; 6 ; 16 ; 0,00%
Andorra ; Altri paesi europei ; 5 ; 5 ; 10 ; 0,00%
Repubblica Popolare Cinese ; Asia orientale ; 154.993 ; 152.045 ; 307.038 ; 5,97%
Bangladesh ; Asia centro meridionale ; 124.275 ; 49.783 ; 174.058 ; 3,39%
India ; Asia centro meridionale ; 96.741 ; 70.592 ; 167.333 ; 3,25%
Filippine ; Asia orientale ; 68.580 ; 90.346 ; 158.926 ; 3,09%
Pakistan ; Asia centro meridionale ; 104.754 ; 39.375 ; 144.129 ; 2,80%
Sri Lanka (ex Ceylon) ; Asia centro meridionale ; 57.605 ; 52.223 ; 109.828 ; 2,14%
Georgia ; Asia occidentale ; 4.243 ; 24.979 ; 29.222 ; 0,57%
Afghanistan ; Asia centro meridionale ; 13.432 ; 3.440 ; 16.872 ; 0,33%
Repubblica Islamica dell'Iran ; Asia occidentale ; 8.368 ; 8.122 ; 16.490 ; 0,32%
Giappone ; Asia orientale ; 1.829 ; 5.210 ; 7.039 ; 0,14%
Iraq ; Asia occidentale ; 5.416 ; 1.539 ; 6.955 ; 0,14%
Siria ; Asia occidentale ; 3.821 ; 2.693 ; 6.514 ; 0,13%
Thailandia ; Asia orientale ; 572 ; 5.131 ; 5.703 ; 0,11%
Libano ; Asia occidentale ; 2.876 ; 1.727 ; 4.603 ; 0,09%
Repubblica di Corea (Corea del Sud) ; Asia orientale ; 1.569 ; 2.122 ; 3.691 ; 0,07%
Indonesia ; Asia orientale ; 491 ; 2.742 ; 3.233 ; 0,06%
Kirghizistan ; Asia centro meridionale ; 494 ; 1.788 ; 2.282 ; 0,04%
Kazakhstan ; Asia centro meridionale ; 342 ; 1.715 ; 2.057 ; 0,04%
Israele ; Asia occidentale ; 1.066 ; 880 ; 1.946 ; 0,04%
Nepal ; Asia centro meridionale ; 1.042 ; 736 ; 1.778 ; 0,03%
Vietnam ; Asia orientale ; 535 ; 1.155 ; 1.690 ; 0,03%
Armenia ; Asia occidentale ; 654 ; 858 ; 1.512 ; 0,03%
Giordania ; Asia occidentale ; 893 ; 602 ; 1.495 ; 0,03%
Territori dell'Autonomia Palestinese ; Asia occidentale ; 988 ; 374 ; 1.362 ; 0,03%
Uzbekistan ; Asia centro meridionale ; 348 ; 801 ; 1.149 ; 0,02%
Azerbaigian ; Asia occidentale ; 519 ; 506 ; 1.025 ; 0,02%
Taiwan ; Asia orientale ; 169 ; 485 ; 654 ; 0,01%
Malaysia ; Asia orientale ; 288 ; 255 ; 543 ; 0,01%
Myanmar (ex Birmania) ; Asia orientale ; 143 ; 226 ; 369 ; 0,01%
Yemen ; Asia occidentale ; 187 ; 128 ; 315 ; 0,01%
Mongolia ; Asia orientale ; 66 ; 196 ; 262 ; 0,01%
Cambogia ; Asia orientale ; 65 ; 145 ; 210 ; 0,00%
Singapore ; Asia orientale ; 54 ; 156 ; 210 ; 0,00%
Arabia Saudita ; Asia occidentale ; 103 ; 48 ; 151 ; 0,00%
Timor Est ; Asia orientale ; 18 ; 75 ; 93 ; 0,00%
Tagikistan ; Asia centro meridionale ; 44 ; 38 ; 82 ; 0,00%
Repubblica Democratica Popolare di Corea (Corea del Nord) ; Asia orientale ; 26 ; 48 ; 74 ; 0,00%
Kuwait ; Asia occidentale ; 43 ; 27 ; 70 ; 0,00%
Laos ; Asia orientale ; 14 ; 53 ; 67 ; 0,00%
Turkmenistan ; Asia centro meridionale ; 18 ; 47 ; 65 ; 0,00%
Qatar ; Asia occidentale ; 35 ; 4 ; 39 ; 0,00%
Bahrein ; Asia occidentale ; 14 ; 11 ; 25 ; 0,00%
Bhutan ; Asia centro meridionale ; 13 ; 10 ; 23 ; 0,00%
Emirati Arabi Uniti ; Asia occidentale ; 12 ; 7 ; 19 ; 0,00%
Oman ; Asia occidentale ; 9 ; 9 ; 18 ; 0,00%
Maldive ; Asia centro meridionale ; 14 ; 1 ; 15 ; 0,00%
Brunei ; Asia orientale ; 0 ; 2 ; 2 ; 0,00%
Marocco ; Africa settentrionale ; 224.516 ; 190.572 ; 415.088 ; 8,07%
Egitto ; Africa settentrionale ; 97.932 ; 49.865 ; 147.797 ; 2,87%
Nigeria ; Africa occidentale ; 70.616 ; 53.030 ; 123.646 ; 2,40%
Senegal ; Africa occidentale ; 82.477 ; 30.121 ; 112.598 ; 2,19%
Tunisia ; Africa settentrionale ; 64.226 ; 38.196 ; 102.422 ; 1,99%
Ghana ; Africa occidentale ; 32.140 ; 15.195 ; 47.335 ; 0,92%
Costa d'Avorio ; Africa occidentale ; 18.865 ; 9.694 ; 28.559 ; 0,56%
Gambia ; Africa occidentale ; 21.627 ; 1.010 ; 22.637 ; 0,44%
Mali ; Africa occidentale ; 19.898 ; 1.134 ; 21.032 ; 0,41%
Algeria ; Africa settentrionale ; 11.679 ; 6.416 ; 18.095 ; 0,35%
Camerun ; Africa centro meridionale ; 8.362 ; 7.081 ; 15.443 ; 0,30%
Burkina Faso (ex Alto Volta) ; Africa occidentale ; 9.656 ; 4.548 ; 14.204 ; 0,28%
Guinea ; Africa occidentale ; 10.170 ; 1.710 ; 11.880 ; 0,23%
Somalia ; Africa orientale ; 7.189 ; 2.160 ; 9.349 ; 0,18%
Etiopia ; Africa orientale ; 2.638 ; 3.786 ; 6.424 ; 0,12%
Eritrea ; Africa orientale ; 3.381 ; 3.023 ; 6.404 ; 0,12%
Togo ; Africa occidentale ; 3.593 ; 1.772 ; 5.365 ; 0,10%
Mauritius ; Africa orientale ; 2.180 ; 2.863 ; 5.043 ; 0,10%
Capo Verde ; Africa occidentale ; 1.285 ; 2.388 ; 3.673 ; 0,07%
Repubblica democratica del Congo (ex Zaire) ; Africa centro meridionale ; 1.797 ; 1.827 ; 3.624 ; 0,07%
Repubblica del Congo ; Africa centro meridionale ; 1.438 ; 1.483 ; 2.921 ; 0,06%
Libia ; Africa settentrionale ; 1.923 ; 965 ; 2.888 ; 0,06%
Sudan ; Africa settentrionale ; 2.029 ; 624 ; 2.653 ; 0,05%
Kenya ; Africa orientale ; 936 ; 1.645 ; 2.581 ; 0,05%
Benin (ex Dahomey) ; Africa occidentale ; 1.607 ; 899 ; 2.506 ; 0,05%
Guinea Bissau ; Africa occidentale ; 2.112 ; 236 ; 2.348 ; 0,05%
Sierra Leone ; Africa occidentale ; 1.522 ; 450 ; 1.972 ; 0,04%
Niger ; Africa occidentale ; 1.299 ; 341 ; 1.640 ; 0,03%
Madagascar ; Africa orientale ; 461 ; 1.122 ; 1.583 ; 0,03%
Tanzania ; Africa orientale ; 558 ; 700 ; 1.258 ; 0,02%
Angola ; Africa centro meridionale ; 580 ; 554 ; 1.134 ; 0,02%
Liberia ; Africa occidentale ; 882 ; 213 ; 1.095 ; 0,02%
Sud Africa ; Africa centro meridionale ; 307 ; 462 ; 769 ; 0,01%
Mauritania ; Africa occidentale ; 555 ; 173 ; 728 ; 0,01%
Burundi ; Africa orientale ; 275 ; 410 ; 685 ; 0,01%
Uganda ; Africa orientale ; 261 ; 343 ; 604 ; 0,01%
Ruanda ; Africa orientale ; 258 ; 341 ; 599 ; 0,01%
Gabon ; Africa centro meridionale ; 244 ; 246 ; 490 ; 0,01%
Ciad ; Africa centro meridionale ; 359 ; 85 ; 444 ; 0,01%
Mozambico ; Africa orientale ; 140 ; 222 ; 362 ; 0,01%
Seychelles ; Africa orientale ; 104 ; 241 ; 345 ; 0,01%
Zambia ; Africa orientale ; 113 ; 146 ; 259 ; 0,01%
Zimbabwe (ex Rhodesia) ; Africa orientale ; 92 ; 142 ; 234 ; 0,00%
Repubblica Centrafricana ; Africa centro meridionale ; 120 ; 70 ; 190 ; 0,00%
Guinea Equatoriale ; Africa centro meridionale ; 89 ; 91 ; 180 ; 0,00%
Sud Sudan ; Africa settentrionale ; 106 ; 34 ; 140 ; 0,00%
Malawi ; Africa orientale ; 34 ; 40 ; 74 ; 0,00%
Namibia ; Africa centro meridionale ; 10 ; 26 ; 36 ; 0,00%
São Tomé e Principe ; Africa centro meridionale ; 9 ; 15 ; 24 ; 0,00%
Gibuti ; Africa orientale ; 11 ; 12 ; 23 ; 0,00%
Eswatini ; Africa centro meridionale ; 9 ; 10 ; 19 ; 0,00%
Botswana ; Africa centro meridionale ; 5 ; 11 ; 16 ; 0,00%
Lesotho ; Africa centro meridionale ; 6 ; 3 ; 9 ; 0,00%
Comore ; Africa orientale ; 3 ; 3 ; 6 ; 0,00%
Perù ; America centro meridionale ; 41.610 ; 57.123 ; 98.733 ; 1,92%
Ecuador ; America centro meridionale ; 28.003 ; 35.208 ; 63.211 ; 1,23%
Brasile ; America centro meridionale ; 15.802 ; 35.323 ; 51.125 ; 0,99%
Repubblica Dominicana ; America centro meridionale ; 11.750 ; 17.821 ; 29.571 ; 0,58%
Cuba ; America centro meridionale ; 7.001 ; 16.530 ; 23.531 ; 0,46%
El Salvador ; America centro meridionale ; 9.504 ; 13.189 ; 22.693 ; 0,44%
Colombia ; America centro meridionale ; 8.284 ; 12.572 ; 20.856 ; 0,41%
Stati Uniti d'America ; America settentrionale ; 6.857 ; 8.725 ; 15.582 ; 0,30%
Argentina ; America centro meridionale ; 6.777 ; 7.885 ; 14.662 ; 0,29%
Venezuela ; America centro meridionale ; 4.904 ; 8.644 ; 13.548 ; 0,26%
Bolivia ; America centro meridionale ; 5.060 ; 7.870 ; 12.930 ; 0,25%
Messico ; America centro meridionale ; 1.726 ; 3.412 ; 5.138 ; 0,10%
Honduras ; America centro meridionale ; 1.161 ; 2.359 ; 3.520 ; 0,07%
Cile ; America centro meridionale ; 1.380 ; 1.819 ; 3.199 ; 0,06%
Canada ; America settentrionale ; 908 ; 1.322 ; 2.230 ; 0,04%
Paraguay ; America centro meridionale ; 561 ; 1.402 ; 1.963 ; 0,04%
Uruguay ; America centro meridionale ; 474 ; 733 ; 1.207 ; 0,02%
Dominica ; America centro meridionale ; 410 ; 678 ; 1.088 ; 0,02%
Guatemala ; America centro meridionale ; 335 ; 630 ; 965 ; 0,02%
Nicaragua ; America centro meridionale ; 298 ; 574 ; 872 ; 0,02%
Costa Rica ; America centro meridionale ; 184 ; 375 ; 559 ; 0,01%
Haiti ; America centro meridionale ; 173 ; 203 ; 376 ; 0,01%
Panama ; America centro meridionale ; 103 ; 269 ; 372 ; 0,01%
Giamaica ; America centro meridionale ; 60 ; 72 ; 132 ; 0,00%
Trinidad e Tobago ; America centro meridionale ; 11 ; 34 ; 45 ; 0,00%
Bahamas ; America centro meridionale ; 8 ; 9 ; 17 ; 0,00%
Barbados ; America centro meridionale ; 7 ; 10 ; 17 ; 0,00%
Guyana ; America centro meridionale ; 6 ; 11 ; 17 ; 0,00%
Antigua e Barbuda ; America centro meridionale ; 9 ; 7 ; 16 ; 0,00%
Belize ; America centro meridionale ; 6 ; 6 ; 12 ; 0,00%
Saint Lucia ; America centro meridionale ; 4 ; 8 ; 12 ; 0,00%
Saint Kitts e Nevis ; America centro meridionale ; 4 ; 6 ; 10 ; 0,00%
Grenada ; America centro meridionale ; 3 ; 4 ; 7 ; 0,00%
Suriname ; America centro meridionale ; 2 ; 5 ; 7 ; 0,00%
Saint Vincent e Grenadine ; America centro meridionale ; 1 ; 3 ; 4 ; 0,00%
Australia ; Oceania ; 608 ; 910 ; 1.518 ; 0,03%
Nuova Zelanda ; Oceania ; 168 ; 186 ; 354 ; 0,01%
Samoa ; Oceania ; 17 ; 21 ; 38 ; 0,00%
Papua Nuova Guinea ; Oceania ; 20 ; 13 ; 33 ; 0,00%
Figi ; Oceania ; 10 ; 14 ; 24 ; 0,00%
Tonga ; Oceania ; 6 ; 5 ; 11 ; 0,00%
Isole Salomone ; Oceania ; 0 ; 5 ; 5 ; 0,00%
Vanuatu ; Oceania ; 1 ; 3 ; 4 ; 0,00%
Kiribati ; Oceania ; 2 ; 0 ; 2 ; 0,00%
Isole Marshall ; Oceania ; 1 ; 0 ; 1 ; 0,00%
Palau ; Oceania ; 1 ; 0 ; 1 ; 0,00%
Apolidi ; Apolidi ; 345 ; 298 ; 643 ; 0,01%
